LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,CONFIRMED,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,COUNCIL DISTRICT,LOCATION START DATE,LOCATION
0003073895-0001-0,PARADISE FACTORY LLC,,,385 W 20TH STREET,SAN PEDRO,90731-5503,385 20TH 90731-5503,,,,15,1/1/2018,"(33.7258, -118.2855)"
0003067561-0001-9,WALIBE SOLUTIONS INC,,,400 N MARINE AVENUE,WILMINGTON,90744-5629,400 MARINE 90744-5629,,,,15,1/1/2018,"(33.7744, -118.2629)"
0002201665-0001-0,DELTA-9 T.H.C.,DELTA-9 T.H.C,,824 E ANAHEIM STREET UNIT #B,WILMINGTON,90744-6833,824 ANAHEIM 90744-6833,824 E ANAHEIM STREET   UNIT #B,WILMINGTON,90744-6833,15,12/1/2006,"(33.7805, -118.2523)"
0002275038-0001-7,KUSH KORNER II,K.K.II,,813   CRISTOBAL AVENUE,WILMINGTON,90744-4708,813 CRISTOBAL 90744-4708,10058   SUNLAND BLVD,SUNLAND,91040-1649,15,9/13/2007,"(33.7816, -118.243)"
0002247121-0001-5,HERBAL SOLUTIONS SOUTHERN CALIFORNIA INC,EVOLV CANNABIS | LA BREA COMPASSIONATE CAREGIVERS,,25937   WESTERN AVENUE,LOMITA,90717-3361,25937 WESTERN 90717-3361,25937   WESTERN AVENUE,LOMITA,90717-3361,15,5/15/2007,"(33.7871, -118.3081)"
0003120815-0001-2,1429 LA LLC,,,1429   260TH STREET,HARBOR CITY,90710-3303,1429 260TH 90710-3303,1346   ELWOOD STREET,LOS ANGELES,90021-2413,15,1/1/2018,"(33.7872, -118.3022)"
0003120523-0001-2,1400 LA LLC,,,1429 260TH STREET UNIT #D,HARBOR CITY,90710-3303,1429 260TH 90710-3303,1346   ELWOOD STREET,LOS ANGELES,90021-2413,15,1/1/2018,"(33.7872, -118.3022)"
0003043880-0001-4,OPHIUCHUS INC,PCH HERBARIUM,,1605   PACIFIC COAST HIGHWAY   #107,HARBOR CITY,90710-2600,1605 PACIFIC COAST 90710-2600,,,,15,3/1/2018,"(33.7899, -118.3047)"
0002333808-0002-5,"GREEN EARTH PHARMACY, A CALIFORNIA NON-PROFIT MUTUAL BENEFIT CORPORATION",GREEN EARTH PHARMACY | KUSH,,1227 W 253RD STREET,HARBOR CITY,90710-2413,1227 253RD 90710-2413,,,,15,4/30/2007,"(33.795, -118.2982)"
0003075130-0001-2,KYLE S RYAN,,,1513   SEPULVEDA BLVD,TORRANCE,90501-5128,1513 SEPULVEDA 90501-5128,,,,15,1/1/2018,"(33.8157, -118.3039)"
0002246867-0001-7,SUNRISE CAREGIVER FOUNDATION INC,,,22865 LOCKNESS AVENUE,TORRANCE,90501-5103,22865 LOCKNESS 90501-5103,,,,15,3/13/2007,"(33.8176, -118.3065)"
0003068088-0001-4,CALMEDS FARMERS UNION,,,1606 LOCKNESS PLACE,TORRANCE,90501-5119,1606 LOCKNESS 90501-5119,1431 W PICO BLVD,LOS ANGELES,90015-2405,15,1/1/2018,"(33.8177, -118.3055)"
0003086540-0001-2,KC CURZ INC,,,22849   LOCKNESS AVENUE,TORRANCE,90501-5103,22849 LOCKNESS 90501-5103,,,,15,1/1/2018,"(33.8177, -118.3073)"
0002456876-0001-3,INFINITY MEDICAL ALLIANCE INC,,,1609   LOCKNESS PLACE,TORRANCE,90501-5119,1609 LOCKNESS 90501-5119,1609 LOCKNESS PLACE,TORRANCE,90501-5119,15,4/10/2007,"(33.8187, -118.3057)"
0002178173-0001-3,CRUZ VERDE INC,GREEN CROSS OF TORRANCE,,1658 W CARSON STREET SUITE # B C,TORRANCE,90501-2836,1658 CARSON 90501-2836,POST OFFICE BOX #955,NORTH HOLLYWOOD,91603-0955,15,11/1/2006,"(33.8314, -118.3079)"
0002221186-0001-3,HERBALCURE CORPORATION,HERBALCURE,,17601 S DENVER AVENUE,GARDENA,90248-3412,17601 DENVER 90248-3412,13274   FIJI WAY   SUITE #250,MARINA DEL REY,90292-7298,15,4/18/2011,"(33.8706, -118.2831)"
0002766766-0001-4,DUONG NGUYEN,ROLLING GREEN GROUP,,16400 S VERMONT AVENUE,GARDENA,90247-4914,16400 VERMONT 90247-4914,,,,15,3/7/2014,"(33.8825, -118.2912)"
0003068547-0001-6,BALL FAMILY FARMS,,,15001 S FIGUEROA STREET,GARDENA,90248-1721,15001 FIGUEROA 90248-1721,,,,15,1/1/2018,"(33.8957, -118.2842)"
0002257045-0001-9,THERAPEUTIC HEALTH COLLECTIVE,,,621 W ROSECRANS AVENUE UNIT #101,GARDENA,90248-1516,621 ROSECRANS 90248-1516,,,,15,6/20/2007,"(33.9018, -118.2858)"
0003078390-0001-2,LA TEST LABS LLC,LA TESTING LAB,,621 W ROSECRANS AVENUE   SUITE #104,GARDENA,90248-1516,621 ROSECRANS 90248-1516,621 W ROSECRANS AVENUE   SUITE #104,GARDENA,90248-1516,15,1/1/2018,"(33.9029, -118.2856)"
0003072724-0001-4,TOKERMAN FARMS LLC,,,13324   ESTRELLA AVENUE   UNIT #C,GARDENA,90248-1519,13324 ESTRELLA 90248-1519,,,,15,1/1/2018,"(33.9108, -118.2855)"
0003026102-0001-6,GREEN STUDIO COLLECTIVE,,NOT ON MAP,10924 S MAIN STREET,LOS ANGELES,90061-2028,10924 MAIN 90061-2028,,,,8,12/29/2015,"(33.9367, -118.2735)"
0002774878-0001-7,LOS ANGELES MEDICAL PRODUCTS AND SUPPLIES INC,,NOT ON MAP,10456 S VERMONT AVENUE,LOS ANGELES,90044-3136,10456 VERMONT 90044-3136,,,,8,9/15/2014,"(33.9412, -118.2916)"
0002117284-0002-2,ORGANICA INC,,Yes - retailer,5300 W 104TH STREET,LOS ANGELES,90045-6010,5300 104TH 90045-6010,,,,11,1/1/2018,"(33.9416, -118.3725)"
0003023253-0001-5,MARCUS MARTIN/CHERYL MARTIN,BOMB FLOWER SMOKESHOP,NOT ON MAP,8945 S WESTERN AVENUE   SUITE #A,LOS ANGELES,90047-3549,8945 WESTERN 90047-3549,1621 W 58TH STREET,LOS ANGELES,90062-2737,8,1/1/2018,"(33.955, -118.3094)"
0002627252-0001-8,KML CONSULTANT INC,,NOT ON MAP,9001 S NORMANDIE AVENUE,LOS ANGELES,90044-2023,9001 NORMANDIE 90044-2023,6709 LA TIJERA BLVD #568,LOS ANGELES,90045-2017,0,7/23/2012,"(33.9558, -118.3002)"
0002275032-0001-0,NICE DREAMS INC,GREEN CITY COLLECTIVE,,8405   PERSHING DRIVE   SUITE #100,PLAYA DEL REY,90293-7870,8405 PERSHING 90293-7870,4408 MEDLEY PLACE,ENCINO,91316-4343,11,5/29/2007,"(33.957, -118.4432)"
0002260907-0001-2,NATURES CURE INC,MEDMEN - LAX | MEDMEN LAX,,8740 S SEPULVEDA BLVD   #105,LOS ANGELES,90045-4000,8740 SEPULVEDA 90045-4000,5880 W JEFFERSON BLVD UNIT #G,LOS ANGELES,90016-3160,11,8/28/2007,"(33.9577, -118.3958)"
0003054895-0001-4,SCJ COLLECTIVE,,,8612 S CENTRAL AVENUE,LOS ANGELES,90002-1112,8612 CENTRAL 90002-1112,,,,9,1/1/2018,"(33.9596, -118.2561)"
0002666211-0001-7,GREEN LEAF VIP INC,,,8501 S FIGUEROA STREET,LOS ANGELES,90003-2785,8501 FIGUEROA 90003-2785,5050 GAGE AVENUE,BELL,90201-1547,8,2/20/2013,"(33.9611, -118.2827)"
0002178151-0001-7,LAX CC INC,,,8332 LINCOLN BLVD,LOS ANGELES,90045-2414,8332 LINCOLN 90045-2414,,,,11,10/1/2006,"(33.9619, -118.421)"
0002181088-0001-7,THE HOLISTIC CAREGIVERS INC,CRENSHAW HOLISTIC CAREGIVERS,,7415   CRENSHAW BLVD,LOS ANGELES,90043-4931,7415 CRENSHAW 90043-4931,,,,8,9/11/2006,"(33.9722, -118.3312)"
0003054740-0002-3,MR. T'S COLLECTIVE LLC,MR. T'S COLLECTIVE,,6820   CRENSHAW BLVD,LOS ANGELES,90043-4667,6820 CRENSHAW 90043-4667,36640   OBARIA WAY,LAKE ELSINORE,92532-3050,8,1/1/2018,"(33.9763, -118.3304)"
0003067599-0001-6,CLADE 9 MCKINLEY AVENUE LLC,,,6515   MCKINLEY AVENUE,LOS ANGELES,90001-1519,6515 MCKINLEY 90001-1519,,,,9,1/1/2018,"(33.9802, -118.2618)"
0003069829-0001-0,EJF INC,,,6483   STANFORD AVENUE,LOS ANGELES,90001-1533,6483 STANFORD 90001-1533,,,,9,1/1/2018,"(33.9802, -118.2634)"
0000725759-0003-9,KUSH VALLEY COLLECTIVE,THE ORIGINALS FACTORY AND WEED SHOP,Yes - retailer,6500   STANFORD AVENUE,LOS ANGELES,90001-1536,6500 STANFORD 90001-1536,,,,9,11/14/2006,"(33.981, -118.2624)"
0003074903-0001-3,WEN CHIEH LIU,,,655 E GAGE AVENUE,LOS ANGELES,90001-1511,655 GAGE 90001-1511,,,,9,1/1/2018,"(33.9821, -118.2627)"
0002248188-0001-6,VENICE ALTERNATIVE HEALING COLLECTIVE CO-OP,,Yes - retailer,817 E GAGE AVENUE,LOS ANGELES,90001-1515,817 GAGE 90001-1515,11664   NATIONAL BLVD   SUITE #425,LOS ANGELES,90064-3802,9,4/18/2011,"(33.9823, -118.2608)"
0003083727-0001-1,SUPER PREMIUM CANCORP INC,,,704 E 62ND STREET,LOS ANGELES,90001-1504,704 62ND 90001-1504,,,,9,1/1/2018,"(33.9829, -118.2629)"
0002175639-0001-5,EXCLUSIVE CAREGIVERS OF CALIFORNIA,,Yes - retailer,6200 S WILTON PLACE,LOS ANGELES,90047-1319,6200 WILTON 90047-1319,500 S GRAND AVENUE FLOOR #18,LOS ANGELES,90071-2609,8,9/30/2006,"(33.9833, -118.3148)"
0003076283-0001-0,WESTSIDE HYDE PROJECT LLC,,NOT ON MAP,2110   HYDE PARK BLVD,LOS ANGELES,90047-1018,2110 HYDE PARK 90047-1018,17252   HAWTHORNE BLVD   #274,TORRANCE,90504-1032,8,1/1/2018,"(33.985, -118.3158)"
0002233236-0001-4,GREEN DOT MEDICINAL CANNABIS PATIENT'S GROUP,GREEN DOT,Yes - retailer,4200 LINCOLN BLVD,MARINA DEL REY,90292-5618,4200 LINCOLN 90292-5618,4200 LINCOLN BLVD,MARINA DEL REY,90292-5618,11,3/15/2007,"(33.9868, -118.4444)"
0003067666-0001-0,1000 PALMS ASSOCIATES GROUP INC,COOKIES,NOT ON MAP,935 E 59TH STREET,LOS ANGELES,90001-1007,935 59TH 90001-1007,,,,9,1/1/2018,"(33.9877, -118.258)"
0002101730-0002-7,THE GREEN GODDESS INC,GREEN GODDESS COLLECTIVE | THE GREEN GODDESS COLLECTIVE,,1716 MAIN STREET,VENICE,90291-6612,1716 MAIN 90291-6612,1716 MAIN STREET,VENICE,90291-6612,11,10/1/2006,"(33.9877, -118.4708)"
0003086521-0002-8,ELISE MANAGEMENT,,,5717   TOWNE AVENUE   BUILDING,LOS ANGELES,90011-5331,5717 TOWNE 90011-5331,,,,9,1/1/2018,"(33.9901, -118.2681)"
0002072463-0001-5,MARINA CAREGIVERS' COOPERATIVE INC,,Yes - retailer,13453 BEACH AVENUE,MARINA DEL REY,90292-5623,13453 BEACH 90292-5623,,,,11,11/1/2005,"(33.9906, -118.4455)"
0002231857-0001-1,ALTERNATIVE MEDICINE GROUP INC,DOSIST AK,Yes - retailer,1423   ABBOT KINNEY BLVD,VENICE,90291-3740,1423 ABBOT KINNEY 90291-3740,POST OFFICE BOX #955,NORTH HOLLYWOOD,91603-0955,11,1/1/2007,"(33.9906, -118.4651)"
0002245715-0001-4,VENICE CAREGIVER FOUNDATION INC,MEDMEN ABBOT KINNEY,,1310   ABBOT KINNEY BLVD,VENICE,90291-3758,1310 ABBOT KINNEY 90291-3758,5880 W JEFFERSON BLVD UNIT #G,LOS ANGELES,90016-3160,11,5/11/2007,"(33.9909, -118.4678)"
0002184683-0001-5,CANTODIEM DISPENSING COLLECTIVE INC,MMD MARINA DEL REY,Yes - retailer,13356 W WASHINGTON BLVD,LOS ANGELES,90066-5108,13356 WASHINGTON 90066-5108,10612 CHIQUITA STREET,NORTH HOLLYWOOD,91602-3215,0,9/1/2006,"(33.9924, -118.4438)"
0002227550-0001-1,VFARM1509 INC,ROSE COLLECTIVE,,411   ROSE AVENUE,VENICE,90291-2629,411 ROSE 90291-2629,411   ROSE AVENUE,VENICE,90291-2629,11,2/8/2007,"(33.9979, -118.4749)"
0002274403-0001-9,HYPERION HEALING LLC,HYPERION HEALING LLC,,712 LINCOLN BLVD,VENICE,90291-2802,712 LINCOLN 90291-2802,1155 W RIO SALADO PARKWAYS,TEMPE,85281-2598,11,9/13/2007,"(33.9998, -118.464)"
0002181643-0001-9,THE COMPASSION NETWORK,MEDMEN VENICE | VENICE BEACH CARE CENTERS,,410 LINCOLN BLVD,VENICE,90291-2829,410 LINCOLN 90291-2829,,,,11,9/1/2006,"(34.0004, -118.4659)"
0002869211-0001-0,ABBIE HOME CARE SERVICES INC.,,,4710 S WESTERN AVENUE,LOS ANGELES,90062-2320,4710 WESTERN 90062-2320,13602 BRADLEY AVENUE,SYLMAR,91342-1104,8,11/16/2015,"(34.0008, -118.3089)"
0002097999-0001-3,CAC VENICE LLC,CALIFORNIA ALTERNATIVE CAREGIVERS,,122 LINCOLN BLVD #204,VENICE,90291-2859,122 LINCOLN 90291-2859,,,,11,2/13/2006,"(34.0021, -118.4696)"
0003068173-0001-6,"COSMIC EDIBLES, LLC",COSMIC,,1720 E 41ST PLACE,LOS ANGELES,90058-1504,1720 41ST 90058-1504,1601 N SEPULVEDA BLVD   BUILDING #269,MANHATTAN BEACH,90266-5111,9,3/16/2017,"(34.0067, -118.2425)"
0003075978-0001-9,MARY J'S KITCHEN INC,,,1801 E 41ST PLACE,LOS ANGELES,90058-1542,1801 41ST 90058-1542,,,,9,1/1/2018,"(34.0074, -118.2408)"
0002220478-0001-6,NEW AGE COMPASSION CARE CENTER CORP,,Yes - retailer,350 W MARTIN LUTHER KING JR BLVD,LOS ANGELES,90037-4529,350 MARTIN LUTHER KING JR 90037-4529,350 W MARTIN LUTHER KING JR BLVD,LOS ANGELES,90037-4529,9,1/29/2007,"(34.0108, -118.2796)"
0002854331-0002-1,PURE VAPE INC.,,,3690   NOAKES STREET,LOS ANGELES,90023-3222,3690 NOAKES 90023-3222,3940   LAUREL CANYON BLVD   UNIT #565,STUDIO CITY,91604-3709,14,1/1/2018,"(34.0139, -118.1967)"
0003087290-0001-3,MAVOD VENTURES INC,,,3411 S SAN PEDRO STREET,LOS ANGELES,90011-2436,3411 SAN PEDRO 90011-2436,528 S BROADWAY,LOS ANGELES,90013-2302,9,1/1/2018,"(34.0149, -118.2658)"
0003086159-0001-4,GG QUALITY MANUFACTURING,,,1550   CALZONA STREET   BUILDING,LOS ANGELES,90023-3254,1550 CALZONA 90023-3254,,,,14,1/1/2018,"(34.0152, -118.1962)"
0003078984-0001-6,VAMPA OIL LLC,,,3412   EMERY STREET,LOS ANGELES,90023-3811,3412 EMERY 90023-3811,,,,14,1/1/2018,"(34.0152, -118.2064)"
0003067661-0001-7,HYBRID L.A. INC,HYBRID LA,,3525 E 16TH STREET,LOS ANGELES,90023-3905,3525 16TH 90023-3905,,,,14,1/1/2018,"(34.0153, -118.2018)"
0003120554-0001-8,1512 LA LLC,,,1512   CALZONA STREET,LOS ANGELES,90023-3254,1512 CALZONA 90023-3254,1346   ELWOOD STREET,LOS ANGELES,90021-2413,14,1/1/2018,"(34.0155, -118.1961)"
0003080907-0001-9,"VANGARDE CULTIVATION, LLC",,,1507   MIRASOL STREET,LOS ANGELES,90023-3220,1507 MIRASOL 90023-3220,3455   HADLEY DRIVE,MIRA LOMA,91752-1375,14,1/1/2018,"(34.0155, -118.1999)"
0003226875-0001-3,HOLISTIC ESPERANZA LLC,HOLISTIC INDUSTRIES,Yes - retailer,1500 ESPERANZA STREET,LOS ANGELES,90023-3915,1500 ESPERANZA 90023-3915,1900 W PARK DRIVE,WESTBOROUGH,01581-3942,14,11/1/2020,"(34.0155, -118.2006)"
0003071577-0001-2,MATADA LLC,,,2417 E 25TH STREET,VERNON,90058-1208,2417 25TH 90058-1208,,,,14,1/1/2018,"(34.0155, -118.2294)"
0003080904-0001-5,GUS DIAZ,,,1451 MIRASOL STREET,LOS ANGELES,90023-0023,1451 MIRASOL 90023-0023,1060  3/4 N NORMANDIE AVENUE,LOS ANGELES,90029-2404,14,1/1/2018,"(34.0156, -118.1999)"
0003074392-0001-2,FILIFERA,,,2501 E 25TH STREET   UNIT #1,VERNON,90058-1210,2501 25TH 90058-1210,2501 E 25TH STREET   UNIT #1,VERNON,90058-1210,14,1/1/2018,"(34.0156, -118.2277)"
0003079687-0001-2,SPECTRUM GROWERS LLC,,,949 E 31ST STREET,LOS ANGELES,90011-2501,949 31ST 90011-2501,,,,9,1/1/2018,"(34.0156, -118.2582)"
0003070669-0001-9,KANNA KING FARMS COOPERATIVE CORPORATION,,,3547 E 15TH STREET,LOS ANGELES,90023-3903,3547 15TH 90023-3903,22215   DEVONSHIRE STREET,CHATSWORTH,91311-2737,14,1/1/2018,"(34.016, -118.2012)"
0003085474-0001-6,BOYLE BROTHERS 411 LLC,,,3411 E 15TH STREET,LOS ANGELES,90023-3822,3411 15TH 90023-3822,,,,14,1/1/2018,"(34.016, -118.2064)"
0003067636-0001-9,SWEET GREENZ LLC,,,2225   LONG BEACH AVENUE,LOS ANGELES,90058-1025,2225 LONG BEACH 90058-1025,7624   VICKY AVENUE,CANOGA PARK,91304-5440,9,1/1/2018,"(34.016, -118.2435)"
0003070669-0002-7,KANNA KING FARMS COOPERATIVE CORPORATION,,,3540   UNION PACIFIC AVENUE,LOS ANGELES,90023-3922,3540 UNION PACIFIC 90023-3922,,,,14,1/1/2018,"(34.0162, -118.2014)"
0003075609-0001-3,NOVA GROW LABS LLC,,,1455 ESPERANZA STREET,LOS ANGELES,90023-3928,1455 ESPERANZA 90023-3928,,,,14,1/1/2018,"(34.0163, -118.2012)"
0003075101-0001-6,CHRISTOPHER RYAN THOMAS,,,3236   UNION PACIFIC AVENUE,LOS ANGELES,90023-4203,3236 UNION PACIFIC 90023-4203,,,,14,1/1/2018,"(34.0165, -118.2099)"
0003070654-0003-9,PACIFIC WEST DISTRIBUTORS INC,,,3238   UNION PACIFIC AVENUE,LOS ANGELES,90023-4203,3238 UNION PACIFIC 90023-4203,,,,14,1/1/2018,"(34.0166, -118.2099)"
0002107645-0001-1,HEZEKIAH INCORPORATED,HEZEKIAH / THE FACTORY,Yes - retailer,2437 E 24TH STREET,VERNON,90058-1203,2437 24TH 90058-1203,,,,14,4/15/2006,"(34.0166, -118.2286)"
0003205319-0001-9,TED'S BUDZ LLC,,,1320 LOS PALOS STREET,LOS ANGELES,90023-3136,1320 LOS PALOS 90023-3136,,,,14,1/1/2018,"(34.0167, -118.1949)"
0003076231-0001-2,GOLDEN GATE ARCK,GOLDEN GATE ARCK,,3365   UNION PACIFIC AVENUE,LOS ANGELES,90023-3812,3365 UNION PACIFIC 90023-3812,,,,14,1/1/2018,"(34.0167, -118.2068)"
0003080998-0001-6,CRISTINA LOUISE CLARK,CRISTINA LOUISE CLARK,,3361   UNION PACIFIC AVENUE,LOS ANGELES,90023-3812,3361 UNION PACIFIC 90023-3812,7095   HOLLYWOOD BLVD   SUITE #407,LOS ANGELES,90028-8912,14,1/1/2018,"(34.0167, -118.2069)"
0003070654-0002-1,PACIFIC WEST DISTRIBUTORS INC,,,3329   UNION PACIFIC AVENUE,LOS ANGELES,90023-3812,3329 UNION PACIFIC 90023-3812,,,,14,1/1/2018,"(34.0167, -118.208)"
0003070654-0001-2,PACIFIC WEST DISTRIBUTORS INC,,,3325   UNION PACIFIC AVENUE,LOS ANGELES,90023-3812,3325 UNION PACIFIC 90023-3812,,,,14,1/1/2018,"(34.0167, -118.2081)"
0003071090-0007-6,DUB BROTHERS MANAGEMENT LLC,,,3480 E 14TH STREET,LOS ANGELES,90023-3819,3480 14TH 90023-3819,721 E 5TH STREET,LOS ANGELES,90013-2110,14,1/1/2018,"(34.0171, -118.2035)"
0003074765-0001-8,CARE EVOLUTION INC,,,3458   14TH STREET E,LOS ANGELES,90023-3819,3458 14TH 90023-3819,14950   DELANO STREET,VAN NUYS,91411-2122,14,1/1/2018,"(34.0171, -118.2041)"
0003067504-0001-1,ALKHEMIST LLC,BIOTICS,,1400 ESPERANZA STREET,LOS ANGELES,90023-3914,1400 ESPERANZA 90023-3914,34   SEA COVE DRIVE,RANCHO PALOS VERDES,90275-5830,14,1/1/2018,"(34.0172, -118.2006)"
0003070654-0004-7,PACIFIC WEST DISTRIBUTORS INC,,,3217   UNION PACIFIC AVENUE,LOS ANGELES,90023-4202,3217 UNION PACIFIC 90023-4202,2711 N SEPULVEDA BLVD,MANHATTAN BEACH,90266-2725,14,1/1/2018,"(34.0172, -118.2103)"
0003067508-0001-9,ALKHEMIST DM LLC,,,1370   ESPERANZA STREET   SUITE #B,LOS ANGELES,90023-3912,1370 ESPERANZA 90023-3912,,,,14,1/1/2018,"(34.0174, -118.2006)"
0002795344-0001-7,SEAN KILGORE HAN,,,3347   MCLAUGHLIN AVENUE,LOS ANGELES,90066-2004,3347 MCLAUGHLIN 90066-2004,11727   GATEWAY BLVD,LOS ANGELES,90064-2819,11,8/14/2012,"(34.0174, -118.4331)"
0003068574-0001-3,CS HERITAGE INDUSTRY INC,,,1459 S LORENA STREET,LOS ANGELES,90023-3718,1459 LORENA 90023-3718,1459 S LORENA STREET,LOS ANGELES,90023-3718,14,1/1/2018,"(34.0175, -118.2089)"
0003069775-0001-1,OMERTA FARMS LLC,,,197 E JEFFERSON BLVD,LOS ANGELES,90011-2330,197 JEFFERSON 90011-2330,,,,9,1/1/2018,"(34.0175, -118.2695)"
0002211289-0001-9,"CANNA HEALTHCARE, INC",CLOUD 8TH DTLA,,2111   LONG BEACH AVENUE,LOS ANGELES,90058-1023,2111 LONG BEACH 90058-1023,,,,9,12/26/2006,"(34.0177, -118.2438)"
0002172987-0001-7,TOLUCA LAKE COLLECTIVE INC,TLC COLLECTIVE (JUNGLE BOYS),Yes - retailer,3650 E OLYMPIC BLVD,LOS ANGELES,90023-3129,3650 OLYMPIC 90023-3129,,,,14,8/9/2006,"(34.0178, -118.1986)"
0003067541-0001-1,RSVP GROUP LLC,,,3220   MINES AVENUE,LOS ANGELES,90023-3707,3220 MINES 90023-3707,301   CALLE MIRAMAR,REDONDO BEACH,90277-6393,14,1/1/2018,"(34.0186, -118.2098)"
0002211791-0001-7,"HHC PLUS, INC., A CALIFORNIA NON-PROFIT CORPORATION",,,1901 S ALAMEDA STREET #112,LOS ANGELES,90058-1037,1901 ALAMEDA 90058-1037,1901 S ALAMEDA STREET,LOS ANGELES,90058-1037,14,12/28/2006,"(34.0186, -118.2396)"
0003075114-0001-3,ELEVATE FARMZ LLC,,,2222 E WASHINGTON BLVD,LOS ANGELES,90021-3213,2222 WASHINGTON 90021-3213,1840 E 62ND STREET,LOS ANGELES,90001-1804,14,1/1/2018,"(34.0187, -118.2325)"
0002239788-0001-6,ORGANIC GREEN TREATMENT CENTER LLC,LA CANNABIS CO EST 2007,Yes - retailer,3791   2ND AVENUE,LOS ANGELES,90018-4308,3791 2ND 90018-4308,,,,10,4/11/2007,"(34.0188, -118.3193)"
0003086159-0002-2,GG QUALITY MANUFACTURING,,,3217   MINES AVENUE,LOS ANGELES,90023-3706,3217 MINES 90023-3706,,,,14,1/1/2018,"(34.0189, -118.2095)"
0002838631-0003-0,FROSTY GREEN GROUP INC,,,3529 E OLYMPIC BLVD,LOS ANGELES,90023-3923,3529 OLYMPIC 90023-3923,,,,14,1/1/2018,"(34.019, -118.2019)"
0003080086-0002-8,REAPS COMPANY LLC,,,1901 S ALAMEDA STREET   UNIT #116-118,LOS ANGELES,90058-1037,1901 ALAMEDA 90058-1037,,,,9,1/1/2018,"(34.0195, -118.2401)"
0003076260-0001-9,IMPERIAL PROJECT LLC,,,2043   IMPERIAL STREET,LOS ANGELES,90021-3203,2043 IMPERIAL 90021-3203,1148   AZALEA CIRCLE,CORONA,92882-5816,14,1/1/2018,"(34.0203, -118.2318)"
0002817395-0002-7,THE ART OF EDIBLES,,,2215 E 16TH STREET,LOS ANGELES,90021-3201,2215 16TH 90021-3201,136 S VIRGIL AVENUE   UNIT #213,LOS ANGELES,90004-6040,14,1/1/2018,"(34.0204, -118.2325)"
0003075511-0001-2,EDIBLES LIST LLC,,,2223 E 16TH STREET,LOS ANGELES,90021-3201,2223 16TH 90021-3201,222 S FIGUEROA STREET   SUITE #822,LOS ANGELES,90012-2578,14,1/1/2018,"(34.0204, -118.2325)"
0002203314-0003-3,VIRGIL GRANT III,MED X NOW,,1601 S SOTO STREET,LOS ANGELES,90023-2621,1601 SOTO 90023-2621,603 E UNIVERSITY DRIVE SUITE #B-167,CARSON,90746-1969,14,8/10/2007,"(34.0208, -118.2206)"
0003120426-0001-8,3001 LA LLC,,,3001 E 11TH STREET,LOS ANGELES,90023-3605,3001 11TH 90023-3605,1346   ELWOOD STREET,LOS ANGELES,90021-2413,14,1/1/2018,"(34.0209, -118.2138)"
0003075020-0001-1,GREEN CITY GROUP LLC,,,3204 S GRAND AVENUE,LOS ANGELES,90007-4101,3204 GRAND 90007-4101,15145   LAS FLORES AVENUE,LA MIRADA,90638-1451,9,1/1/2018,"(34.0213, -118.275)"
