LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,CONFIRMED,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,COUNCIL DISTRICT,LOCATION START DATE,LOCATION
0003067761-0001-5,CALISOURCE LLC,,,3122 S GRAND AVENUE,LOS ANGELES,90007-3815,3122 GRAND 90007-3815,8832   BRADLEY AVENUE,SUN VALLEY,91352-2703,9,1/1/2018,"(34.0221, -118.2746)"
0003067653-0001-2,LIGHTBOX LEASING CORP,,,2193 E 14TH STREET,LOS ANGELES,90021-2843,2193 14TH 90021-2843,,,,14,1/1/2018,"(34.0238, -118.2334)"
0003075570-0001-0,10TH STREET FACILITIES LLC,,,2180 E 10TH STREET,LOS ANGELES,90021-2801,2180 10TH 90021-2801,3956   INGLEWOOD BLVD,LOS ANGELES,90066-4529,14,1/1/2018,"(34.025, -118.234)"
0003067749-0001-4,ARCTURIAN LIGHT LLC,,,2001 E 14TH STREET,LOS ANGELES,90021-2809,2001 14TH 90021-2809,926 SAN VICENTE BLVD,SANTA MONICA,90402-2004,14,1/1/2018,"(34.025, -118.237)"
0003086521-0003-6,ELISE MANAGEMENT,,,1651   MATEO STREET,LOS ANGELES,90021-2854,1651 MATEO 90021-2854,,,,14,1/1/2018,"(34.0251, -118.2329)"
0003120482-0001-1,1350 LA LLC,,,1350   ELWOOD STREET,LOS ANGELES,90021-2413,1350 ELWOOD 90021-2413,1346 ELWOOD STREET,LOS ANGELES,90021-2413,14,1/1/2018,"(34.0251, -118.2357)"
0003077600-0001-7,HYPE LLC,,,1410 E 15TH STREET,LOS ANGELES,90021-2704,1410 15TH 90021-2704,,,,14,1/1/2018,"(34.0251, -118.2453)"
0003076592-0001-3,CLEAR CHOICE CONNECTION,,,2184 E 10TH STREET,1001,90021-2801,2184 10TH 90021-2801,14381   SPA DRIVE,HUNTINGTON BEACH,92647-2029,14,1/1/2018,"(34.0252, -118.234)"
0003120546-0001-3,1346 LA LLC,,NOT ON MAP,1346   ELWOOD STREET,LOS ANGELES,90021-2413,1346 ELWOOD 90021-2413,1346   ELWOOD STREET,LOS ANGELES,90021-2413,14,1/1/2018,"(34.0252, -118.2356)"
0002205101-0001-8,CALIFORNIA ORGANIC TREATMENT CENTER INC,EDEN WELLNESS CENTER,Yes - retailer,2222 E OLYMPIC BLVD,LOS ANGELES,90021-2506,2222 OLYMPIC 90021-2506,11623   SHELDON STREET   UNIT #A,SUN VALLEY,91352-1578,14,12/1/2006,"(34.0256, -118.2329)"
0003120314-0001-7,"1333 GRO, LLC",,,1333   WILSON STREET,LOS ANGELES,90021-2804,1333 WILSON 90021-2804,1346   ELWOOD STREET,LOS ANGELES,90021-2413,14,1/1/2018,"(34.0256, -118.2352)"
0003067613-0001-8,TYRONE GOMES,ALBERT EINSTONE'S,,2353 E OLYMPIC BLVD,LOS ANGELES,90021-2507,2353 OLYMPIC 90021-2507,10995 BLUFFSIDE DRIVE APT #2326,STUDIO CITY,91604-4456,14,1/1/2018,"(34.0258, -118.2305)"
0002248953-0001-8,COLLECTIVE PHARM,HIGH NOTE CULVER CITY AND CANNA DISTRIBUTION & TRANSIT,Yes - retailer,5277 W JEFFERSON BLVD,LOS ANGELES,90016-3841,5277 JEFFERSON 90016-3841,660 S FIGUEROA STREET   SUITE #1600,LOS ANGELES,90017-3433,10,5/24/2007,"(34.0258, -118.3607)"
0003086754-0001-1,CIRCULAR ENTERPRISES INC.,,,940 S ALAMEDA STREET,LOS ANGELES,90021-2409,940 ALAMEDA 90021-2409,,,,14,1/1/2018,"(34.0259, -118.2388)"
0002719075-0002-4,EAK ENTERPRISES INC,,,2333 E OLYMPIC BLVD,LOS ANGELES,90021-2507,2333 OLYMPIC 90021-2507,2533   MISSION STREET,SAN FRANCISCO,94110-2511,14,1/1/2018,"(34.026, -118.2314)"
0003067683-0001-3,DELACREME,,,1005 E WASHINGTON BLVD   #C,LOS ANGELES,90021-3020,1005 WASHINGTON 90021-3020,330 N CRESCENT DRIVE   #108,BEVERLY HILLS,90210-4846,14,1/1/2018,"(34.026, -118.2529)"
0003120577-0001-9,NUGROW LLC,,,1400   NEWTON STREET,LOS ANGELES,90021-2726,1400 NEWTON 90021-2726,1346   ELWOOD STREET,LOS ANGELES,90021-2413,14,1/1/2018,"(34.0261, -118.2448)"
0002086145-0003-4,ADVANCED PATIENTS' COLLECTIVE,,,2430   PORTER STREET,LOS ANGELES,90021-2511,2430 PORTER 90021-2511,10115   JEFFERSON BLVD,CULVER CITY,90232-3519,14,1/1/2018,"(34.0264, -118.2289)"
0003068334-0001-2,WASHINGTON SAGE LLC,,,770 E WASHINGTON BLVD,LOS ANGELES,90021-3042,770 WASHINGTON 90021-3042,10249   TUJUNGA CANYON BLVD   #6,TUJUNGA,91042-2246,9,1/1/2018,"(34.0264, -118.2555)"
0002189128-0001-1,"DTPG COLLECTIVE, INC",DTPG / DOWNTOWN PATIENT GROUP,Yes - retailer,930 S ALAMEDA STREET,LOS ANGELES,90021-2409,930 ALAMEDA 90021-2409,,,,14,10/6/2006,"(34.0265, -118.2388)"
0003052345-0002-9,TRUE SCIENCE LABORATORIES LLC,,,1611 E 14TH STREET,LOS ANGELES,90021-2308,1611 14TH 90021-2308,,,,14,1/1/2018,"(34.0265, -118.2425)"
0003073498-0001-1,STRATUM BRANDS INC,,,801 E WASHINGTON BLVD,LOS ANGELES,90021-3018,801 WASHINGTON 90021-3018,801 E WASHINGTON BLVD,LOS ANGELES,90021-3018,14,1/1/2018,"(34.0266, -118.2542)"
0003074843-0001-0,KUSHCO DISTRIBUTION,,,1232   HOOPER AVENUE   BUILDING,LOS ANGELES,90021-2316,1232 HOOPER 90021-2316,11054   VENTURA BLVD   SUITE #352,STUDIO CITY,91604-3546,14,1/1/2018,"(34.0267, -118.2425)"
0003067502-0001-1,GREEN HABITAT,,,756 E WASHINGTON BLVD,LOS ANGELES,90021-3017,756 WASHINGTON 90021-3017,,,,9,1/1/2018,"(34.0267, -118.256)"
0003084610-0001-5,BROADWAY ALLIANCE LLC,,NOT ON MAP,2408 S BROADWAY,LOS ANGELES,90007-2716,2408 BROADWAY 90007-2716,9030 NATIONAL BLVD,LOS ANGELES,90034-3114,9,1/1/2018,"(34.0268, -118.2684)"
0002275041-0001-9,DOWNTOWN NATURAL CAREGIVERS INC.,DOWNTOWN NATURAL CAREGIVERS,Yes - retailer,147 W 25TH STREET,LOS ANGELES,90007-2713,147 25TH 90007-2713,312   WALL STREET,LOS ANGELES,90013-1515,9,9/14/2007,"(34.0268, -118.2695)"
0003075517-0002-8,OFIR DANGUR,,,1700   GRIFFITH AVENUE,LOS ANGELES,90021-3010,1700 GRIFFITH 90021-3010,,,,14,1/1/2018,"(34.027, -118.2521)"
0003076091-0001-8,GARDEN OF WEEDEN INC,,,1816 E OLYMPIC BLVD,LOS ANGELES,90021-2420,1816 OLYMPIC 90021-2420,,,,14,1/1/2018,"(34.0271, -118.2387)"
0002203172-0001-3,"LOS ANGELES FARMERS, INC.",LA FARMERS | SHOWGROW LA,Yes - retailer,824 E 17TH STREET,LOS ANGELES,90021-3002,824 17TH 90021-3002,,,,14,11/29/2006,"(34.0272, -118.2531)"
0003196751-0001-9,MALIBU GOLD LLC,,,2433 HUNTER STREET,LOS ANGELES,90021-2519,2433 HUNTER 90021-2519,3573 W 3RD STREET #201,LOS ANGELES,90020-2012,14,1/1/2018,"(34.0279, -118.2286)"
0002289515-0001-2,LOS ANGELES WELLNESS CENTER,ERBA,,12320 W PICO BLVD,LOS ANGELES,90064-1137,12320 PICO 90064-1137,,,,11,11/1/2006,"(34.0281, -118.4524)"
0002189025-0001-0,"NATURE'S NATURAL CARE, INC.",NEW AMSTERDAM NATURALS,,9021 EXPOSITION BLVD,LOS ANGELES,90034-3305,9021 EXPOSITION 90034-3305,,,,5,10/30/2006,"(34.0285, -118.3924)"
0002443496-0001-0,ADVANCED PAIN SOLUTIONS INC,GRACE,,2340 S CENTINELA AVENUE,LOS ANGELES,90064-1008,2340 CENTINELA 90064-1008,11664   NATIONAL BLVD   #147,LOS ANGELES,90064-3802,11,6/2/2009,"(34.0288, -118.4541)"
0003076243-0001-5,CALIFORNIA MARIJUANA COMPANY,,,2314 E 8TH STREET,LOS ANGELES,90021-1752,2314 8TH 90021-1752,4201 SADDLECREST LANE,WESTLAKE VILLAGE,91361-4762,14,1/1/2018,"(34.0293, -118.2317)"
0002192299-0001-5,PEACE OF GREEN INC,,Yes - retailer,1155 E PICO BLVD,LOS ANGELES,90021-2223,1155 PICO 90021-2223,,,,14,4/15/2006,"(34.0296, -118.2466)"
0003080061-0001-0,GA FACTORY,,NOT ON MAP,1001 E 14TH STREET,LOS ANGELES,90021-2211,1001 14TH 90021-2211,1101 E 18TH STREET,LOS ANGELES,90021-3009,14,1/1/2018,"(34.0302, -118.2498)"
0002246086-0001-4,CARE CALIFORNIA CONSULTATION INC,BUDDHA COMPANY,Yes - retailer,2038 SACRAMENTO STREET,LOS ANGELES,90021-1720,2038 SACRAMENTO 90021-1720,,,,14,5/9/2007,"(34.0305, -118.2306)"
0003068271-0001-5,CITY OF ANGELS PATIENT GROUP COOPERATIVE CORPORATION,F / ELD,NOT ON MAP,2124   VIOLET STREET,LOS ANGELES,90021-1731,2124 VIOLET 90021-1731,4151   2ND AVENUE,LOS ANGELES,90008-4041,14,1/1/2018,"(34.0323, -118.229)"
0003075018-0002-1,JAE MANAGEMENT LLC,,,1115 E 10TH STREET,LOS ANGELES,90021-2031,1115 10TH 90021-2031,15145   LAS FLORES AVENUE,LA MIRADA,90638-1451,14,1/1/2018,"(34.0327, -118.2461)"
0002256288-0001-6,LA WONDERLAND CAREGIVERS INC,,Yes - retailer,151 W 17TH STREET,LOS ANGELES,90015-3542,151 17TH 90015-3542,,,,14,6/27/2007,"(34.0336, -118.2644)"
0002584588-0002-0,LA ORGANIC PHARMACY INC,,Yes - retailer,5738 W WASHINGTON BLVD,LOS ANGELES,90016-2429,5738 WASHINGTON 90016-2429,6620 NOBLE AVENUE,VAN NUYS,91405-4532,10,10/28/2011,"(34.0343, -118.3694)"
0002201626-0001-0,PATIENTS AND CAREGIVERS LOS ANGELES INC,,,4854   LANKERSHIM BLVD,LOS ANGELES,90064-0064,4854 LANKERSHIM 90064-0064,,,,5,11/1/2006,"(34.0346, -118.4325)"
0002228537-0001-3,CITY COMPASSIONATE CAREGIVERS  INC,CCC / CITY COMPASSIONATE CAREGIVERS | CITY COMPASSIONATE CAREGIVERS,,2235 E 7TH STREET,LOS ANGELES,90023-1019,2235 7TH 90023-1019,,,,14,4/1/2007,"(34.0348, -118.2237)"
0002809122-0001-1,JODY HADRABA,,,10288 BANNOCKBURN DRIVE,LOS ANGELES,90064-4707,10288 BANNOCKBURN 90064-4707,,,,5,1/1/2011,"(34.0351, -118.4089)"
0002871131-0001-7,LINCOLN HEALTH,,,5650 W WASHINGTON BLVD,LOS ANGELES,90016-1930,5650 WASHINGTON 90016-1930,12115 MAGNOLIA BLVD #221,NORTH HOLLYWOOD,91607-2609,10,11/17/2015,"(34.0356, -118.367)"
0002168149-0001-3,GREENHOUSE ORGANICS INC,THE GREENHOUSE,,2304   SAWTELLE BLVD,LOS ANGELES,90064-1708,2304 SAWTELLE 90064-1708,5156 SEPULVEDA BLVD,SHERMAN OAKS,91403-1154,11,7/25/2006,"(34.0368, -118.4395)"
0003082888-0001-9,ORGANIC GREEN LEAF COOPERATIVE CORPORATION,,,1126   SANTEE STREET,LOS ANGELES,90015-1700,1126 SANTEE 90015-1700,21704   DEVONSHIRE STREET   UNIT #146,CHATSWORTH,91311-2903,14,1/1/2018,"(34.0369, -118.2564)"
0003070009-0001-8,FARID ANVARIPOUR,,,649 S ANDERSON STREET,LOS ANGELES,90023-1105,649 ANDERSON 90023-1105,,,,14,1/1/2018,"(34.037, -118.2235)"
0002262211-0002-4,SOUTHERN CALIFORNIA COLLECTIVE A CALIFORNIA CORPORATION,CANNARY WEST,Yes - retailer,2435   MILITARY AVENUE,LOS ANGELES,90064-1920,2435 MILITARY 90064-1920,,,,5,8/6/2007,"(34.0373, -118.4327)"
0002263119-0001-1,VALLEY HERBAL HEALING CENTER INC,SWEETFLOWER ARTS DISTRICT,,614   MATEO STREET,LOS ANGELES,90021-1312,614 MATEO 90021-1312,3627 DICKASON AVENUE APT #E,DALLAS,75219-4917,14,7/30/2007,"(34.0374, -118.2323)"
0002072981-0001-4,HOLISTIC SUPPLEMENTS,COLLECTIVE CAREGIVERS PHARMACY AND 2 AM PHARMACY,Yes - retailer,1149 S LOS ANGELES STREET,LOS ANGELES,90015-2536,1149 LOS ANGELES 90015-2536,,,,14,10/19/2005,"(34.0374, -118.2584)"
0003068086-0001-5,VOYAGE DISTRIBUTION,JOSH ROISTACHER,,727   GLADYS AVENUE,LOS ANGELES,90021-1413,727 GLADYS 90021-1413,2622 S ROBERTSON BLVD,LOS ANGELES,90034-2402,14,1/1/2018,"(34.038, -118.2447)"
0003075508-0001-1,HIGH LINE DISTRIBUTION LLC,,,11165   TENNESSEE AVENUE,LOS ANGELES,90064-1813,11165 TENNESSEE 90064-1813,,,,5,1/1/2018,"(34.0381, -118.4379)"
0003074935-0001-3,CALI GREEN HOUSE,,,737   STANFORD AVENUE,LOS ANGELES,90021-1415,737 STANFORD 90021-1415,3633   PUENTE AVENUE,BALDWIN PARK,91706-5557,14,1/1/2018,"(34.0382, -118.2456)"
0003071090-0006-8,DUB BROTHERS MANAGEMENT LLC,,,717   STANFORD AVENUE,LOS ANGELES,90021-1415,717 STANFORD 90021-1415,29458   BLUEWATER ROAD,MALIBU,90265-4119,14,1/1/2018,"(34.0388, -118.2451)"
0002265879-0003-1,SAN FERNANDO VALLEY MEDICAL SUPPLY INC,,,741   TOWNE AVENUE,LOS ANGELES,90021-1417,741 TOWNE 90021-1417,,,,14,1/1/2018,"(34.0388, -118.2464)"
0003212914-0001-0,SAN FERNANDO VALLEY DISCOUNT MEDICAL SUPPLY,,,741 TOWNE AVENUE,LOS ANGELES,90021-1417,741 TOWNE 90021-1417,,,,14,1/1/2018,"(34.0388, -118.2464)"
0003142926-0001-6,EARTH BLEND INC,CALI BOYZ,,828   VENICE BLVD,LOS ANGELES,90015-3228,828 VENICE 90015-3228,,,,1,1/1/2018,"(34.0393, -118.275)"
0002661365-0002-3,TOPLINE COLLECTIVE,SHERMAN OAKS ORGANIC,,643   GLADYS AVENUE,LOS ANGELES,90021-1003,643 GLADYS 90021-1003,13619   MOORPARK STREET,SHERMAN OAKS,91423-5002,14,1/1/2018,"(34.0394, -118.2432)"
0002211556-0001-9,THE LIVING EARTH WELLNESS CENTER COLLECTIVE INC,LITCO,Yes - retailer,1323 S FLOWER STREET,LOS ANGELES,90015-2907,1323 FLOWER 90015-2907,8306 WILSHIRE BLVD #1527,BEVERLY HILLS,90211-2304,14,12/28/2006,"(34.0394, -118.2677)"
0003075124-0001-7,KALI BOTANICALS CORP,,,1056 S MAIN STREET,LOS ANGELES,90015-1710,1056 MAIN 90015-1710,1056 S MAIN STREET,LOS ANGELES,90015-1710,14,1/1/2018,"(34.0397, -118.2575)"
0002509127-0001-8,NEW ERA CAREGIVERS,,,1238 S FLOWER STREET,LOS ANGELES,90015-2117,1238 FLOWER 90015-2117,,,,14,5/4/2010,"(34.0401, -118.2667)"
0002391329-0001-1,GRATEFUL MEDS INC,,,547 SEATON STREET,LOS ANGELES,90013-2236,547 SEATON 90013-2236,542 S ALAMEDA STREET,LOS ANGELES,90013-1708,14,8/1/2008,"(34.0408, -118.2372)"
0003068098-0001-8,NZ GROUP LLC,,,657   CROCKER STREET,LOS ANGELES,90021-1001,657 CROCKER 90021-1001,657   CROCKER STREET,LOS ANGELES,90021-1001,14,1/1/2018,"(34.0409, -118.2455)"
0002195362-0001-2,THE NATURAL WAY OF L A,ROYAL GREENS,,5067 W WASHINGTON BLVD,LOS ANGELES,90016-1450,5067 WASHINGTON 90016-1450,,,,10,11/1/2006,"(34.0412, -118.3503)"
0002207198-0001-7,PROGRESSIVE HORIZON INC,WEST COAST COLLECTIVE,,837 S LOS ANGELES STREET,LOS ANGELES,90014-3301,837 LOS ANGELES 90014-3301,,,,14,12/15/2006,"(34.0414, -118.2533)"
0002616475-0002-0,MENDING ANGEL'S COOPERATIVE INC,,,829 S LOS ANGELES STREET,LOS ANGELES,90014-3301,829 LOS ANGELES 90014-3301,8721   SANTA MONICA BLVD   #702,W HOLLYWOOD,90069-4507,14,1/1/2018,"(34.0415, -118.2535)"
0000978516-0001-2,GREEN LEAF CAREGIVERS,FIREHAUS,,2000   COTNER AVENUE,LOS ANGELES,90025-5604,2000 COTNER 90025-5604,2000 COTNER AVENUE,LOS ANGELES,90025-5604,5,1/1/2000,"(34.0422, -118.4417)"
0002254984-0001-1,ONESRA ENTERPRISES INC,EUPHORIC CARE GIVERS  PROP 215 | EUPHORIC CARE GIVERS / PROP 215,Yes - retailer,10655 W PICO BLVD,LOS ANGELES,90064-2222,10655 PICO 90064-2222,1730 N VISTA STREET,LOS ANGELES,90046-2235,5,6/21/2007,"(34.0426, -118.4234)"
0002173768-0001-5,TRINITY MA INC,CANNA CLINIC,,2131   WESTWOOD BLVD,LOS ANGELES,90025-6330,2131 WESTWOOD 90025-6330,2131   WESTWOOD BLVD,LOS ANGELES,90025-6330,5,6/1/2006,"(34.0442, -118.4325)"
0003075600-0001-2,KDM HOLDINGS LLC,,,300 S MISSION ROAD,LOS ANGELES,90033-3719,300 MISSION 90033-3719,505 S FIGUEROA STREET   #636,LOS ANGELES,90071-1704,14,1/1/2018,"(34.0443, -118.227)"
0002225065-0001-2,"LOS ANGELES INDUSTRY, INC",HOLLYWEED,,5160   VENICE BLVD,LOS ANGELES,90019-5229,5160 VENICE 90019-5229,5160 VENICE BLVD,LOS ANGELES,90019-5229,10,2/12/2007,"(34.0444, -118.3525)"
0002086145-0001-8,ADVANCED PATIENTS' COLLECTIVE,MEDMEN DTLA,Yes - retailer,735 S BROADWAY,LOS ANGELES,90014-2878,735 BROADWAY 90014-2878,10115   JEFFERSON BLVD,CULVER CITY,90232-3519,14,1/2/2006,"(34.0446, -118.2544)"
0002233176-0001-1,THE POTTERY INC,THE POTTERY,Yes - retailer,5042   VENICE BLVD,LOS ANGELES,90019-5310,5042 VENICE 90019-5310,3645 LONG BEACH BLVD,LONG BEACH,90807-4018,10,3/15/2007,"(34.045, -118.3486)"
0002239291-0001-7,MELROSE HERBAL COLLECTIVE INC,LA CANNABIS CO EST 2007,Yes - retailer,1603 S LA BREA AVENUE,LOS ANGELES,90019-5434,1603 LA BREA 90019-5434,,,,10,4/11/2007,"(34.0454, -118.3457)"
0002849123-0001-1,BAM ARCHITECTURE STUDIO DPC,,,453 S SPRING STREET SUITE #408,LOS ANGELES,90013-2074,453 SPRING 90013-2074,30 W 24TH STREET,NEW YORK,10010-3207,14,4/1/2014,"(34.0478, -118.2498)"
0002210665-0001-9,MID CITY CANNABIS CLUB INC,LA BREA COLLECTIVE,,5057 W PICO BLVD,LOS ANGELES,90019-4129,5057 PICO 90019-4129,,,,10,12/28/2006,"(34.0478, -118.348)"
0002737500-0001-7,LOS ANGELES BDD & BODY IMAGE CLINIC,,,10780 SANTA MONICA BLVD #120,LOS ANGELES,90025-7613,10780 SANTA MONICA 90025-7613,,,,5,3/12/2014,"(34.0504, -118.434)"
0002250336-0001-3,SYLMAR CAREGIVERS INC,,Yes - retailer,1787   WESTWOOD BLVD,LOS ANGELES,90024-5607,1787 WESTWOOD 90024-5607,11138   HERSHEY STREET,SUN VALLEY,91352-1216,5,6/1/2007,"(34.0508, -118.4382)"
0002218073-0001-2,THE RELIEF COLLECTIVE INC,,Yes - retailer,5816 W PICO BLVD,LOS ANGELES,90019-3713,5816 PICO 90019-3713,15127   HOLIDAY WAY,SYLMAR,91342-5503,10,1/18/2007,"(34.0509, -118.365)"
0002112115-0001-9,IRONWORKS COLLECTIVE INC,IRONWORKS COLLECTIVE,Yes - retailer,718 E COMMERCIAL STREET,LOS ANGELES,90012-3412,718 COMMERCIAL 90012-3412,718 E COMMERCIAL STREET,LOS ANGELES,90012-3412,14,4/28/2006,"(34.0523, -118.232)"
0002253054-0001-9,SAFE HARBOR PATIENT'S COLLECTIVE INC,,,1411   WESTWOOD BLVD,LOS ANGELES,90024-4911,1411 WESTWOOD 90024-4911,,,,5,6/12/2007,"(34.0548, -118.4417)"
0002270852-0001-6,AMYLEE SMITHWICK,JAHLIFE - TRUE HOME OF RASTAFARI | JALIFE - TRUE HOME OF RASTAFARI,,1054 S LA BREA AVENUE,LOS ANGELES,90019-6905,1054 LA BREA 90019-6905,12405 VENICE BLVD UNIT #369,LOS ANGELES,90066-3803,10,8/31/2007,"(34.0561, -118.3449)"
0002117413-0001-1,MEDICAL CAREGIVERS COOPERATIVE INC,,Yes - retailer,1039 N MISSION ROAD,LOS ANGELES,90033-1218,1039 MISSION 90033-1218,,,,14,5/22/2006,"(34.0595, -118.2156)"
0003051871-0001-7,SYNAPSE UNLIMITED,BEVERLY HILLS CBD | QUALITY GENETIX,,930 S ROBERTSON BLVD   SUITE #B,LOS ANGELES,90035-1642,930 ROBERTSON 90035-1642,930 S ROBERTSON BLVD   UNIT #B,LOS ANGELES,90035-1642,5,1/1/2018,"(34.06, -118.3833)"
0002224451-0001-6,WFARM1045 INC,THE FARMACY WESTWOOD,,1035 GAYLEY AVENUE,LOS ANGELES,90024-3401,1035 GAYLEY 90024-3401,,,,5,2/8/2007,"(34.0613, -118.4474)"
0002227446-0001-7,"LOS ANGELES VALLEY CAREGIVERS, INC.",LOS ANGELES VARIETY CANNABIS,Yes - retailer,6132 WILSHIRE BLVD,LOS ANGELES,90048-5102,6132 WILSHIRE 90048-5102,,,,5,2/5/2007,"(34.063, -118.3623)"
0003155234-0001-1,TAT KOREATOWN LLC,THE ARTIST TREE,,520 S WESTERN AVENUE,LOS ANGELES,90020-4208,520 WESTERN 90020-4208,,,,14,4/14/2021,"(34.0647, -118.3087)"
0002581502-0001-3,EAGLE ROCK HERBAL COLLECTIVE LLC,EAGLE ROCK HERBAL CAREGIVERS | GENIUS,Yes - retailer,467 S LA BREA AVENUE,LOS ANGELES,90036-3523,467 LA BREA 90036-3523,6960 S CENTINELA AVENUE,CULVER CITY,90230-6305,4,1/1/2006,"(34.0656, -118.3441)"
0002265879-0001-5,SAN FERNANDO VALLEY MEDICAL SUPPLY INC,DOSIST W3,,8016 W 3RD STREET,LOS ANGELES,90048-4307,8016 3RD 90048-4307,,,,5,4/18/2011,"(34.0717, -118.3645)"
0003223752-0001-2,AFROZE BARI,,,1387 AVENIDA DE CORTEZ,PACIFIC PALISADES,90272-2124,1387 Avenida De Cortez 90272-2124,,,,11,12/8/2020,"(34.0722, -118.5624)"
0002183298-0001-1,DOWNTOWN COLLECTIVE INC,MAGNOLIA WELLNESS | ZEN NOHO,Yes - retailer,8151 W 3RD STREET,LOS ANGELES,90048-4314,8151 3RD 90048-4314,,,,5,9/19/2006,"(34.0726, -118.3671)"
0002095479-0001-1,"CALIFORNIA HERBAL REMEDIES, INC",LOS ANGELES KUSH # 1,Yes - retailer,5470   VALLEY BLVD,LOS ANGELES,90032-3530,5470 VALLEY 90032-3530,5470   VALLEY BLVD,LOS ANGELES,90032-3530,14,3/1/2006,"(34.0734, -118.1638)"
0002771471-0001-1,BLOODVINE MEDIA,,,101 GROVERTON PLACE SIDE,LOS ANGELES,90077-3732,101 GROVERTON 90077-3732,2355 WESTWOOD BLVD #333,LOS ANGELES,90064-2109,5,10/1/2014,"(34.0735, -118.4477)"
0003067611-0001-9,CRC MANUFACTURING LLC,,,5235   VALLEY BLVD,LOS ANGELES,90032-3948,5235 VALLEY 90032-3948,5235   VALLEY BLVD,LOS ANGELES,90032-3948,14,1/1/2018,"(34.0741, -118.1705)"
0002270444-0001-9,LAHC INC,,Yes - retailer,2011 PASADENA AVENUE,LOS ANGELES,90031-0031,2011 PASADENA 90031-0031,2011   PASADENA AVENUE,LOS ANGELES,90031-0031,1,8/29/2007,"(34.0748, -118.221)"
0002053218-0001-8,MME CYON RETAIL INC,MEDMEN | MEDMEN BEVERLY HILLS,Yes - retailer,110 S ROBERTSON BLVD,LOS ANGELES,90048-3208,110 ROBERTSON 90048-3208,10115   JEFFERSON BLVD,CULVER CITY,90232-3519,5,7/1/2005,"(34.0752, -118.3836)"
0002236085-0001-3,GREEN AID RECOVERY GROUP INC,HIGH NOTE LA | THE RECOVERY GROUP INC,Yes - retailer,5359   VALLEY BLVD,LOS ANGELES,90032-3930,5359 VALLEY 90032-3930,POST OFFICE BOX #642282,LOS ANGELES,90064-8049,14,3/1/2007,"(34.0753, -118.1666)"
0002274496-0001-5,THE VAN NUYS GROUP LLC,THE GREEN EASY,Yes - retailer,8311 BEVERLY BLVD,LOS ANGELES,90048-2607,8311 BEVERLY 90048-2607,11330 VENTURA BLVD SUITE #1,STUDIO CITY,91604-3176,5,9/13/2007,"(34.076, -118.3703)"
0003157946-0001-6,314 LA BREA LLC,,Yes - retailer,314 N LA BREA AVENUE,LOS ANGELES,90036-2518,314 LA BREA 90036-2518,2877   FORRESTER DRIVE,LOS ANGELES,90064-4649,5,6/23/2021,"(34.0768, -118.3437)"
0002165101-0001-1,MCFLOWER CORPORATION,DELTA 9 CAREGIVERS,Yes - retailer,345 N FAIRFAX AVENUE,LOS ANGELES,90036-2108,345 FAIRFAX 90036-2108,345 N MAPLE DRIVE   SUITE #205,BEVERLY HILLS,90210-5194,5,7/6/2006,"(34.0775, -118.3618)"
